id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
28177,49,1600000US5454100,"Mill Creek town, West Virginia",291,38897,42724,155,49327,51521,116,51538,0,136,27500,29934
28178,49,1600000US5454484,"Milton town, West Virginia",1381,32238,45393,567,61328,65298,393,84375,0,814,25968,30582
28179,49,1600000US5454580,"Mineralwells CDP, West Virginia",646,83000,89875,491,88389,97785,444,89519,0,155,73839,64606
28180,49,1600000US5454892,"Mitchell Heights town, West Virginia",211,93618,107945,155,116250,134046,151,123250,0,56,24545,35700
28181,49,1600000US5455132,"Monaville CDP, West Virginia",118,0,56119,88,0,51930,44,0,0,30,0,0
28182,49,1600000US5455276,"Monongah town, West Virginia",476,46429,65346,321,62989,67064,251,70625,0,155,34135,59876
28183,49,1600000US5455372,"Montcalm CDP, West Virginia",138,28214,39297,87,0,47524,79,0,0,51,27560,25265
28184,49,1600000US5455468,"Montgomery city, West Virginia",643,23625,38419,273,47159,62118,188,63333,0,370,15658,20676
28185,49,1600000US5455540,"Montrose town, West Virginia",79,47917,48365,55,63125,59876,47,66042,0,24,25714,21983
28186,49,1600000US5455588,"Moorefield town, West Virginia",1409,43066,71344,926,48679,80314,677,54531,0,483,25391,33013
28187,49,1600000US5455756,"Morgantown city, West Virginia",10952,42966,65962,4457,83673,100795,3226,105347,0,6495,22343,41031
28188,49,1600000US5456020,"Moundsville city, West Virginia",3636,34701,45675,1975,48945,57957,1423,48867,0,1661,21347,29012
28189,49,1600000US5456212,"Mount Carbon CDP, West Virginia",133,0,79389,133,0,79389,99,0,0,0,0,0
28190,49,1600000US5456342,"Mount Gay-Shamrock CDP, West Virginia",629,27181,33544,435,37643,36176,294,39609,0,194,13718,24328
28191,49,1600000US5456404,"Mount Hope city, West Virginia",504,23333,41837,238,46250,66226,185,56477,0,266,15781,19638
28192,49,1600000US5457148,"Mullens city, West Virginia",591,44688,69576,391,57153,85950,301,66250,0,200,25952,37216
28193,49,1600000US5457916,"Neibert CDP, West Virginia",54,0,136633,54,0,136633,46,0,0,0,0,0
28194,49,1600000US5458180,"Nettie CDP, West Virginia",217,41068,36494,153,41386,37466,128,41955,0,64,0,0
28195,49,1600000US5458300,"Newburg town, West Virginia",125,48750,53739,103,54375,55873,84,66500,0,22,25625,32373
28196,49,1600000US5458372,"New Cumberland city, West Virginia",541,34306,43234,281,52969,56147,213,60804,0,260,18512,27180
28197,49,1600000US5458420,"Newell CDP, West Virginia",584,20887,34681,274,36563,50828,155,0,0,310,15547,20045
28198,49,1600000US5458564,"New Haven town, West Virginia",708,37731,53459,420,70446,69254,261,82773,0,288,21923,29420
28199,49,1600000US5458684,"New Martinsville city, West Virginia",1986,43953,56115,1123,53542,67094,795,69205,0,863,32917,41106
28200,49,1600000US5458756,"New Richmond CDP, West Virginia",166,0,39954,136,0,44046,0,0,0,30,0,0
28201,49,1600000US5459068,"Nitro city, West Virginia",2629,41076,64634,1752,57300,77120,1201,69502,0,877,22137,39381
28202,49,1600000US5459428,"Northfork town, West Virginia",111,24219,37169,83,37917,43886,53,54063,0,28,12500,17264
28203,49,1600000US5459458,"North Hills town, West Virginia",306,113500,124489,254,115769,131263,241,116635,0,52,76000,84115
28204,49,1600000US5459836,"Nutter Fort town, West Virginia",736,49432,63072,439,62063,77710,288,74559,0,297,30365,39729
28205,49,1600000US5460028,"Oak Hill city, West Virginia",3473,39296,52600,2046,59712,67322,1471,67645,0,1427,22420,30323
28206,49,1600000US5460196,"Oakvale town, West Virginia",25,0,38672,13,35417,55469,4,0,0,12,0,19700
28207,49,1600000US5460364,"Oceana town, West Virginia",560,37361,44546,346,50500,55815,250,56618,0,214,20227,25597
28208,49,1600000US5460628,"Omar CDP, West Virginia",159,69234,62526,139,77542,71523,116,78500,0,20,0,0
28209,49,1600000US5461636,"Paden City city, West Virginia",1155,47563,55437,848,51972,60555,613,64073,0,307,25250,35371
28210,49,1600000US5461660,"Page CDP, West Virginia",81,0,55831,33,0,0,0,0,0,48,2500,0
28211,49,1600000US5461684,"Pageton CDP, West Virginia",29,16964,18421,20,16563,17495,11,0,0,9,0,0
28212,49,1600000US5462044,"Parcoal CDP, West Virginia",41,0,50629,34,0,58197,27,82188,0,7,0,0
28213,49,1600000US5462140,"Parkersburg city, West Virginia",13086,35778,51263,7565,44772,63906,4876,59818,80716,5521,22340,31392
28214,49,1600000US5462284,"Parsons city, West Virginia",696,46875,49215,450,57667,59357,303,67917,0,246,22813,28236
28215,49,1600000US5462332,"Paw Paw town, West Virginia",203,34946,49538,159,36875,54791,104,0,0,44,0,29270
28216,49,1600000US5462356,"Pax town, West Virginia",61,21417,55744,45,0,67387,42,0,0,16,20625,23000
28217,49,1600000US5462488,"Pea Ridge CDP, West Virginia",3196,47893,73605,1621,80807,113477,1198,102750,0,1575,22493,31470
28218,49,1600000US5462764,"Pennsboro city, West Virginia",406,41786,50828,276,48333,57692,172,65761,0,130,24375,30252
28219,49,1600000US5462788,"Pentress CDP, West Virginia",65,0,55495,48,0,0,23,0,0,17,0,0
28220,49,1600000US5462956,"Petersburg city, West Virginia",1102,36184,47699,634,57500,59752,397,60114,0,468,18571,28955
28221,49,1600000US5463052,"Peterstown town, West Virginia",251,43750,55493,142,73472,74141,93,80156,0,109,26250,29814
28222,49,1600000US5463292,"Philippi city, West Virginia",1330,30966,51814,721,57882,73415,539,70265,0,609,20021,24688
28223,49,1600000US5463484,"Pickens CDP, West Virginia",14,0,0,0,0,0,0,0,0,14,0,0
28224,49,1600000US5463604,"Piedmont town, West Virginia",330,34737,58612,152,55000,55232,101,56771,0,178,25250,55928
28225,49,1600000US5463772,"Pinch CDP, West Virginia",1183,74926,90365,919,87198,106327,759,96496,0,264,22174,30531
28226,49,1600000US5463892,"Pine Grove town, West Virginia",178,38214,43721,107,49250,54523,91,51875,0,71,22188,27441
28227,49,1600000US5463940,"Pineville town, West Virginia",268,43684,59658,196,55000,69476,124,58438,0,72,0,29249
28228,49,1600000US5463988,"Piney View CDP, West Virginia",467,39958,56629,332,57000,61440,275,71023,0,135,17625,42621
28229,49,1600000US5464228,"Pleasant Valley city, West Virginia",1349,51507,71517,944,56359,78191,692,66979,0,405,35139,42274
28230,49,1600000US5464516,"Poca town, West Virginia",428,59659,66565,295,68828,78027,216,90833,0,133,26063,33814
28231,49,1600000US5464708,"Point Pleasant city, West Virginia",1823,42307,52154,1039,59850,59953,760,77818,0,784,34583,41289
28232,49,1600000US5465284,"Powellton CDP, West Virginia",329,50656,55609,191,51719,61616,127,0,0,138,41351,47296
